iter	Passed	Remaining
404	8265	12143
405	8303	12148
406	8321	12124
407	8341	12102
408	8362	12083
409	8384	12065
410	8400	12038
411	8421	12019
412	8441	11998
413	8458	11972
414	8480	11954
415	8500	11934
416	8523	11917
417	8546	11899
418	8568	11881
419	8590	11863
420	8612	11844
421	8632	11823
422	8655	11806
423	8677	11788
424	8699	11769
425	8717	11746
426	8739	11727
427	8760	11708
428	8785	11692
429	8805	11671
430	8824	11649
431	8844	11629
432	8862	11604
433	8883	11585
434	8903	11564
435	8925	11545
436	8946	11526
437	8968	11507
438	8989	11487
439	9010	11467
440	9033	11450
441	9056	11432
442	9077	11413
443	9098	11393
444	9119	11373
445	9138	11351
446	9155	11326
447	9178	11309
448	9201	11292
449	9223	11273
450	9246	11255
451	9267	11236
452	9285	11211
453	9305	11191
454	9327	11172
455	9350	11155
456	9371	11135
457	9394	11117
458	9416	11098
459	9438	11080
460	9458	11058
461	9479	11038
462	9500	11018
463	9519	10996
464	9540	10976
465	9561	10956
466	9579	10933
467	9596	10908
468	9617	10888
469	9635	10865
470	9653	10842
471	9674	10821
472	9696	10803
473	9718	10784
474	9740	10765
475	9763	10748
476	9786	10730
477	9818	10721
478	9836	10699
479	9853	10674
480	9870	10650
481	9893	10632
482	9915	10613
483	9935	10592
484	9957	10573
485	9975	10550
486	9996	10530
487	10019	10512
488	10039	10490
489	10060	10471
490	10080	10450
491	10098	10426
492	10119	10407
493	10141	10388
494	10164	10369
495	10186	10351
496	10208	10331
497	10230	10312
498	10250	10291
499	10271	10271
500	10291	10250
501	10315	10232
502	10336	10213
503	10356	10191
504	10378	10172
505	10400	10154
506	10421	10133
507	10446	10117
508	10468	10098
509	10490	10079
510	10512	10059
511	10534	10041
512	10556	10021
513	10579	10002
514	10599	9981
515	10620	9961
516	10643	9943
517	10660	9919
518	10683	9901
519	10705	9881
520	10728	9863
521	10750	9843
522	10773	9825
523	10793	9804
524	10816	9786
525	10838	9767
526	10856	9744
527	10879	9725
528	10901	9706
529	10923	9686
530	10945	9667
531	10968	9649
532	10989	9628
533	11011	9609
534	11035	9591
535	11053	9568
536	11071	9546
537	11088	9521
538	11110	9502
539	11133	9483
540	11156	9465
541	11176	9444
542	11198	9424
543	11220	9405
544	11256	9397
545	11276	9376
546	11297	9355
547	11318	9335
548	11339	9315
549	11361	9296
550	11382	9275
551	11402	9254
552	11441	9248
553	11463	9229
554	11484	9208
555	11504	9187
556	11526	9167
557	11547	9147
558	11567	9125
559	11589	9106
560	11611	9086
561	11635	9067
562	11657	9048
563	11678	9028
564	11700	9008
565	11722	8988
566	11741	8966
567	11761	8945
568	11782	8924
569	11801	8902
570	11818	8879
571	11839	8858
572	11859	8837
573	11880	8817
574	11902	8797
575	11921	8775
576	11943	8755
577	11964	8735
578	11987	8715
579	12008	8695
580	12031	8676
581	12049	8654
582	12071	8634
583	12093	8614
584	12116	8595
585	12134	8572
586	12154	8551
587	12172	8528
588	12192	8507
589	12209	8484
590	12230	8463
591	12250	8442
592	12270	8421
593	12292	8401
594	12313	8381
595	12336	8362
596	12355	8340
597	12377	8320
598	12400	8301
599	12420	8280
600	12441	8259
601	12464	8240
602	12486	8220
603	12508	8200
604	12526	8178
605	12549	8158
606	12568	8137
607	12592	8118
608	12615	8099
609	12635	8078
610	12656	8057
611	12676	8036
612	12699	8017
613	12721	7997
614	12743	7977
615	12764	7957
616	12787	7937
617	12807	7916
618	12829	7896
619	12848	7874
620	12869	7854
621	12891	7834
622	12913	7814
623	12931	7791
624	12952	7771
625	12974	7751
626	12996	7731
627	13016	7710
628	13036	7689
629	13058	7669
630	13077	7647
631	13099	7627
632	13121	7607
633	13143	7587
634	13164	7566
635	13187	7547
636	13211	7528
637	13233	7508
638	13255	7488
639	13276	7468
640	13299	7448
641	13320	7428
642	13337	7405
643	13357	7383
644	13378	7363
645	13402	7344
646	13421	7322
647	13442	7302
648	13462	7281
649	13483	7260
650	13504	7239
651	13525	7219
652	13547	7199
653	13569	7179
654	13591	7158
655	13613	7138
656	13637	7119
657	13660	7099
658	13677	7077
659	13697	7056
660	13718	7035
661	13741	7015
662	13765	6997
663	13783	6974
664	13805	6954
665	13829	6935
666	13848	6913
667	13870	6893
668	13892	6873
669	13914	6853
670	13937	6833
671	13955	6811
672	13976	6791
673	13997	6770
674	14019	6750
675	14041	6729
676	14062	6709
677	14085	6689
678	14106	6669
679	14131	6649
680	14152	6629
681	14175	6609
682	14197	6589
683	14221	6570
684	14243	6550
685	14267	6530
686	14284	6508
687	14306	6487
688	14327	6467
689	14348	6446
690	14370	6426
691	14390	6404
692	14410	6383
693	14432	6363
694	14454	6343
695	14475	6322
696	14494	6301
