iter	RMSE
0	26.15756502
1	26.11824062
2	26.07976732
3	26.04622133
4	26.00760577
5	25.97622556
6	25.9466147
7	25.92147064
8	25.89827044
9	25.87205533
10	25.84834764
11	25.82638991
12	25.80887142
13	25.79111345
14	25.77692679
15	25.76148805
16	25.74920141
17	25.72442351
18	25.7072335
19	25.69156434
20	25.67969415
21	25.6666303
22	25.65628324
23	25.64755757
24	25.63783303
25	25.62435969
26	25.61782164
27	25.60863979
28	25.60136297
29	25.59305357
30	25.58578669
31	25.57837809
32	25.54988594
33	25.54017833
34	25.52402748
35	25.51817139
36	25.51250043
37	25.50764531
38	25.49332855
39	25.48807409
40	25.47727183
41	25.47215268
42	25.4665932
43	25.4517834
44	25.44209345
45	25.4337258
46	25.41717229
47	25.41276651
48	25.4075487
49	25.39944909
50	25.38442131
51	25.38037888
52	25.36982094
53	25.35042548
54	25.34282527
55	25.33845498
56	25.33409817
57	25.32266848
58	25.31434531
59	25.31032678
60	25.30672045
61	25.30384102
62	25.30328497
63	25.2989062
64	25.29118398
65	25.28795106
66	25.28051156
67	25.2782583
68	25.27466241
69	25.26908422
70	25.26153648
71	25.25476763
72	25.25253771
73	25.24582068
74	25.24138483
75	25.24117803
76	25.24020766
77	25.2301481
78	25.22558665
79	25.22169482
80	25.21950863
81	25.20935116
82	25.18501932
83	25.18025064
84	25.17443634
85	25.1737344
86	25.16997458
87	25.16836022
88	25.15457313
89	25.15205307
90	25.14845608
91	25.14508851
92	25.1324926
93	25.11537984
94	25.11156525
95	25.11014418
96	25.10956223
97	25.10460792
98	25.09979817
99	25.09680177
100	25.08313913
101	25.08284227
102	25.07908717
103	25.07189279
104	25.06071404
105	25.04789313
106	25.03318534
107	25.02979788
108	25.02590917
109	25.02446752
110	25.02135761
111	25.009519
112	25.00522003
113	24.9982319
114	24.99208576
115	24.99168957
116	24.990783
117	24.9860147
118	24.98100727
119	24.97420522
120	24.96629047
121	24.96212543
122	24.95756017
123	24.94482668
124	24.94459885
125	24.94156538
126	24.93215109
127	24.9227169
128	24.92089444
129	24.90212793
130	24.8983487
131	24.89371018
132	24.88913241
133	24.885643
134	24.88335408
135	24.88223934
136	24.86742011
137	24.86318528
138	24.86207187
139	24.85782839
140	24.84610587
141	24.84352317
142	24.83994126
143	24.83305415
144	24.82953019
145	24.82645292
146	24.82389062
147	24.82025205
148	24.81534353
149	24.81464178
150	24.810844
151	24.80384737
152	24.80098504
153	24.79668767
154	24.79433222
155	24.78440297
156	24.77841597
157	24.77553997
158	24.77290917
159	24.76407925
160	24.76399201
161	24.75761978
162	24.75489747
163	24.75147828
164	24.74764763
165	24.74760033
166	24.74736971
167	24.74122387
168	24.74077629
169	24.74052296
170	24.73136367
171	24.72262072
172	24.71053476
173	24.70708032
174	24.70663842
175	24.7039243
176	24.70048599
177	24.68808899
178	24.68557136
179	24.68305105
180	24.67965614
181	24.67361835
182	24.67268446
183	24.67039787
184	24.66619573
185	24.66362268
186	24.6610774
187	24.65796763
188	24.65796723
189	24.65555648
190	24.65026116
191	24.6501278
192	24.6496654
193	24.64570215
194	24.64501176
195	24.63973897
196	24.6396357
197	24.63628291
198	24.62831953
199	24.61714303
200	24.61708983
201	24.61708953
202	24.61708926
203	24.61229478
204	24.6060949
205	24.60353784
206	24.59729288
